Feature Type,Alpha,Gamma,Polynomial Dimension,Protos per dimension,Epsilon,Simulations,MIN,MAX,Delta,Mean,STDEV
NRB,0.2,0.95,2,18,0.5,1000,247,273,26,257.503,6.524151711567992
NRB,0.2,0.95,2,18,0.25,1000,156,201,45,177.904,15.38764321017236
NRB,0.1,0.99,2,12,0.5,1000,165,184,19,170.282,3.2755465506087997
NRB,0.175,0.99,2,52,0.75,1000,159,404,245,243.537,42.94485873642958
NRB,0.075,0.8,2,12,0.25,1000,178,211,33,190.681,10.863666888222332
NRB,0.075,1.0,2,12,0.75,1000,157,1404,1247,265.845,140.94444405974755
NRB,0.05,0.9,2,18,0.5,1000,166,261,95,212.452,31.897415900682944
NRB,0.01,1.0,2,12,0.5,1000,168,275,107,217.045,46.39984828553776
NRB,0.125,0.8,2,27,0.25,995,173,359,186,261.4291457286432,29.62274118894388
NRB,0.5,1.0,2,12,0.25,1000,163,278,115,186.392,28.061178980323792
NRB,0.075,1.0,2,18,0.25,1000,243,410,167,295.882,26.611505937249177
NRB,0.2,0.99,2,18,0.75,1000,188,342,154,272.716,42.65708582370543
NRB,0.125,0.99,2,52,0.75,1000,158,396,238,297.387,47.06929731523246
NRB,0.2,1.0,2,12,0.25,1000,178,205,27,190.318,9.378103476973626
NRB,0.05,1.0,2,18,0.75,1000,166,213,47,194.224,15.991859290387831
NRB,0.15,0.95,2,8,0.25,1000,160,190,30,171.667,8.180405248521007
NRB,0.1,1.0,2,12,0.5,1000,160,170,10,164.794,2.2000919081721118
NRB,0.1,1.0,2,18,0.75,1000,162,225,63,181.972,18.655112683369918
NRB,0.125,0.8,2,18,0.75,993,149,457,308,194.5005035246727,48.21976164450275
NRB,0.4,0.95,2,21,0.5,997,155,406,251,212.6469408224674,36.0328069385803
NRB,0.075,0.8,2,21,0.75,993,121,352,231,144.67673716012084,15.819904795233146
NRB,0.2,0.95,2,27,0.25,993,176,1183,1007,278.44209466263845,64.65949055002375
NRB,0.025,0.9,2,18,0.75,1000,172,322,150,268.068,41.48414528841483
NRB,0.05,0.8,2,12,0.75,1000,167,266,99,214.806,29.199982928128623
NRB,0.01,0.95,2,12,0.75,1000,148,242,94,199.329,32.391201721284574
NRB,0.075,1.0,2,12,0.25,1000,138,247,109,174.626,30.12280709873347
NRB,0.1,0.95,2,21,0.5,988,120,779,659,208.8178137651822,48.01303443505034
NRB,0.2,0.8,2,52,0.75,1000,142,385,243,246.624,69.72300855472261
NRB,0.1,0.99,2,27,0.5,998,159,360,201,194.12625250501003,32.10701908005459
NRB,0.4,0.9,2,36,0.75,1000,123,348,225,189.1,48.77172009146982
NRB,0.125,0.99,2,8,0.5,1000,164,191,27,174.45,6.66047009315873
NRB,0.01,0.99,2,8,0.5,1000,139,209,70,160.755,19.88679107999728
NRB,0.175,0.8,2,18,0.5,1000,173,338,165,207.007,28.72918929098622
NRB,0.05,1.0,2,12,0.25,1000,181,353,172,266.932,37.015044096819466
NRB,0.4,1.0,2,18,0.25,1000,147,198,51,161.943,14.732372307058826
NRB,0.4,1.0,2,18,0.25,1000,161,384,223,223.985,58.13498474629069
NRB,0.1,0.99,2,12,0.25,1000,167,375,208,293.647,42.217564042868624
NRB,0.01,0.8,2,8,0.25,1000,159,313,154,181.996,33.19267596530502
NRB,0.025,0.95,2,8,0.5,999,218,383,165,291.7847847847848,29.713574705381266
NRB,0.125,0.95,2,18,0.75,1000,158,315,157,245.542,39.83434461631082
NRB,0.075,0.9,2,18,0.75,1000,94,197,103,160.757,28.59005670407707
NRB,0.075,1.0,2,18,0.25,1000,168,276,108,213.796,24.1802619727138
NRB,0.2,0.99,2,36,0.75,1000,146,325,179,245.276,30.259336599658813
NRB,0.075,0.8,2,36,0.5,1000,228,502,274,298.785,60.83862353072358
NRB,0.125,0.99,2,21,0.25,980,196,1173,977,251.76632653061225,56.55557156416553
NRB,0.1,0.99,2,18,0.75,1000,164,342,178,214.767,33.83550727494052
NRB,0.2,1.0,2,36,0.75,1000,119,266,147,186.331,26.149172419375308
NRB,0.05,0.95,2,8,0.25,1000,166,205,39,181.426,17.53202486582471
NRB,0.175,1.0,2,18,0.25,1000,165,306,141,204.443,39.757885261171026
NRB,0.15,0.95,2,27,0.75,996,122,300,178,203.00100401606426,50.48921471969077
NRB,0.15,0.99,2,18,0.5,1000,133,288,155,177.966,29.6371254207152
NRB,0.2,0.99,2,52,0.75,1000,149,362,213,242.814,40.82366931053572
NRB,0.125,0.9,2,36,0.75,1000,119,283,164,168.014,26.533900049782577
NRB,0.175,0.9,2,36,0.75,997,148,712,564,191.87863590772318,40.28082041017164
NRB,0.01,0.99,2,8,0.5,1000,195,247,52,218.265,11.646046771561817
NRB,0.1,0.95,2,27,0.5,996,158,875,717,205.08232931726909,32.5067484141105
NRB,0.025,0.95,2,36,0.75,1000,170,390,220,260.958,49.72537429571394
NRB,0.15,1.0,2,21,0.5,994,127,1153,1026,223.29577464788733,47.38923102109716
NRB,0.01,0.9,2,12,0.25,1000,200,370,170,228.161,38.554370939214124
NRB,0.05,0.95,2,36,0.5,999,196,512,316,280.66366366366367,58.834138922878644
NRB,0.15,0.8,2,18,0.25,1000,162,258,96,185.234,12.189578738817426
NRB,0.1,0.95,2,27,0.75,998,123,382,259,199.66933867735472,44.863829208810955
NRB,0.125,0.95,2,21,0.75,992,169,376,207,201.2227822580645,24.833974749071185
NRB,0.1,0.8,2,27,0.75,998,127,338,211,164.2695390781563,33.762378301204386
NRB,0.175,0.99,2,36,0.5,1000,158,332,174,217.952,41.77799776314199
NRB,0.05,0.9,2,36,0.75,1000,194,318,124,282.474,17.74672562109051
NRB,0.125,1.0,2,27,0.5,998,156,498,342,216.7314629258517,46.65223816755478
NRB,0.1,1.0,2,21,0.75,993,153,543,390,167.60926485397783,27.954787711793394
NRB,0.025,0.99,2,12,0.5,1000,144,205,61,167.573,11.752309891582497
NRB,0.025,0.8,2,21,0.5,987,155,564,409,259.2462006079027,27.618987891345174
NRB,0.15,0.9,2,21,0.25,992,170,583,413,243.9233870967742,34.48265738545419
NRB,0.125,0.99,2,12,0.25,1000,229,300,71,252.586,12.692190342714518
NRB,0.4,0.99,2,18,0.5,989,157,392,235,223.43174924165825,46.347204920263124
NRB,0.01,0.95,2,8,0.5,1000,128,242,114,198.974,25.112346643712012
NRB,0.175,1.0,2,52,0.75,1000,151,290,139,210.225,37.326902800428975
NRB,0.175,0.95,2,27,0.25,998,193,332,139,227.4068136272545,20.254272149060288
NRB,0.075,0.99,2,8,0.25,1000,120,250,130,171.914,30.347942296004216
NRB,0.05,1.0,2,12,0.75,999,210,446,236,271.1171171171171,62.560426078468616
NRB,0.125,0.95,2,18,0.75,1000,135,321,186,240.254,39.05110078438855
NRB,0.025,0.95,2,8,0.5,1000,154,356,202,206.88,56.91951713983027
NRB,0.5,1.0,2,36,0.25,1000,165,325,160,214.506,39.56770864692025
NRB,0.15,0.99,2,12,0.5,1000,161,384,223,246.741,48.170346701070166
NRB,0.175,0.95,2,27,0.75,997,164,340,176,246.95787362086259,40.18619104237241
NRB,0.025,0.95,2,12,0.5,1000,193,237,44,216.363,15.035734245599857
NRB,0.2,0.8,2,27,0.5,995,159,269,110,222.5175879396985,31.950925055189707
NRB,0.4,1.0,2,21,0.5,988,136,768,632,240.6487854251012,52.871727635127556
NRB,0.05,0.99,2,18,0.25,1000,173,315,142,284.205,20.62708053631079
NRB,0.125,0.9,2,8,0.25,1000,197,362,165,235.743,41.78627817889557
NRB,0.01,0.99,2,12,0.25,1000,216,296,80,241.255,16.447081245056264
NRB,0.15,0.95,2,12,0.25,1000,158,204,46,177.29,16.99672876728898
NRB,0.05,0.8,2,18,0.75,1000,119,283,164,191.701,27.348849309588118
NRB,0.125,0.99,2,18,0.5,1000,169,304,135,226.872,32.458884688097264
NRB,0.175,1.0,2,27,0.75,992,162,669,507,229.5453629032258,52.94434713652412
NRB,0.01,0.99,2,12,0.5,1000,163,288,125,184.017,18.676014149290648
NRB,0.175,0.8,2,18,0.75,1000,132,239,107,171.536,24.386254189468982
NRB,0.125,1.0,2,36,0.75,1000,185,413,228,287.257,36.0972015391631
NRB,0.01,0.99,2,12,0.5,1000,157,576,419,199.355,66.41647478693162
NRB,0.05,0.8,2,21,0.5,987,153,356,203,250.59169199594731,43.46823292596853
NRB,0.125,1.0,2,18,0.25,1000,151,212,61,197.329,16.443026854327403
NRB,0.125,0.99,2,21,0.5,988,164,435,271,234.9908906882591,42.91310838594266
NRB,0.15,0.9,2,8,0.5,1000,169,361,192,266.697,42.72608933321314
NRB,0.4,0.8,2,36,0.5,1000,126,234,108,198.11,17.12358365287819
NRB,0.15,0.99,2,27,0.25,1000,164,422,258,221.588,43.59755730546154
NRB,0.15,0.99,2,27,0.75,1000,133,1160,1027,228.518,53.429976964607036
NRB,0.075,0.9,2,18,0.75,1000,101,195,94,156.97,23.0025698177012
NRB,0.075,0.8,2,8,0.75,1000,139,275,136,201.412,18.16337425051205
NRB,0.4,0.95,2,36,0.25,980,161,347,186,260.39897959183673,42.63886163982733
NRB,0.5,0.8,2,36,0.5,1000,196,318,122,276.845,25.760135084264594
NRB,0.075,0.9,2,8,0.25,1000,198,241,43,208.964,8.14893300433309
NRB,0.5,0.99,2,52,0.75,1000,124,369,245,229.949,31.889015480386163
NRB,0.2,0.99,2,12,0.25,1000,165,324,159,212.095,29.50516106598182
NRB,0.4,0.95,2,36,0.75,1000,122,268,146,202.751,33.74248886129407
NRB,0.2,0.99,2,8,0.5,988,218,849,631,286.53036437246965,82.82084820095884
NRB,0.075,0.99,2,18,0.75,998,147,412,265,219.3426853707415,54.28596226188962
NRB,0.075,0.99,2,18,0.25,1000,156,226,70,191.367,24.129702724102376
NRB,0.5,0.9,2,36,0.75,1000,151,414,263,240.67,49.61111127925238
NRB,0.05,0.9,2,8,0.75,1000,119,287,168,152.823,35.37758109656798
NRB,0.15,0.95,2,18,0.75,1000,165,266,101,240.309,14.110018129386354
NRB,0.05,0.95,2,12,0.5,1000,160,327,167,196.503,29.424135854273967
NRB,0.05,0.9,2,12,0.5,1000,191,207,16,199.196,3.8936801030316737
NRB,0.075,0.8,2,8,0.5,1000,185,270,85,244.831,25.45195947743987
NRB,0.05,0.95,2,36,0.75,1000,167,365,198,258.507,35.8698842986648
NRB,0.5,1.0,2,18,0.25,1000,145,224,79,174.426,22.181897136191047
NRB,0.075,0.95,2,18,0.75,996,158,289,131,189.25803212851406,34.29081488782862
NRB,0.175,0.95,2,18,0.75,1000,141,176,35,166.007,7.997306290739895
NRB,0.15,0.8,2,36,0.75,1000,149,283,134,184.646,29.23411222044065
NRB,0.4,0.95,2,52,0.75,1000,162,288,126,215.36,29.22551163847317
NRB,0.075,0.8,2,18,0.25,1000,176,338,162,265.114,49.68991942126785
NRB,0.4,0.99,2,18,0.25,1000,156,378,222,269.789,32.100512798426166
NRB,0.1,0.95,2,8,0.5,1000,151,276,125,188.62,29.730649362425833
NRB,0.2,0.8,2,36,0.25,1000,162,432,270,287.585,52.96975145844626
NRB,0.1,0.95,2,52,0.75,1000,172,545,373,273.509,48.69551490817375
NRB,0.175,0.99,2,18,0.75,1000,162,302,140,253.184,40.75970433525613
NRB,0.025,0.95,2,8,0.5,1000,159,261,102,243.704,9.464457721389005
NRB,0.075,0.95,2,36,0.75,1000,168,417,249,216.016,45.45199255948663
NRB,0.4,0.8,2,52,0.5,1000,165,450,285,247.153,45.86136561263583
NRB,0.025,0.9,2,12,0.25,1000,209,217,8,213.282,1.3756338060575455
NRB,0.125,0.99,2,8,0.25,1000,167,190,23,174.963,6.7106380966092685
NRB,0.05,0.9,2,18,0.5,1000,226,290,64,266.475,20.04273150261925
NRB,0.075,0.95,2,18,0.5,1000,167,273,106,252.443,8.969347813536958
NRB,0.025,0.8,2,8,0.25,1000,122,251,129,213.343,33.618738384576105
NRB,0.4,0.99,2,18,0.5,1000,168,289,121,202.452,22.766202933207726
NRB,0.125,0.8,2,18,0.5,1000,122,234,112,189.472,25.08099424409392
NRB,0.2,0.9,2,18,0.5,1000,153,307,154,260.573,21.484092655665894
NRB,0.125,0.99,2,21,0.25,986,118,1115,997,207.81744421906694,56.3998698558407
NRB,0.175,0.9,2,52,0.75,1000,157,350,193,233.684,46.586569442838915
NRB,0.075,0.9,2,21,0.5,988,158,1464,1306,184.22874493927125,48.31312826090162
NRB,0.025,0.8,2,18,0.5,1000,157,335,178,266.67,27.425923526497357
NRB,0.075,1.0,2,8,0.5,1000,136,271,135,187.689,30.87065396580183
NRB,0.025,0.99,2,18,0.75,1000,183,350,167,286.347,36.72777587222674
NRB,0.05,0.8,2,18,0.75,1000,131,235,104,168.716,34.48162302337763
NRB,0.175,0.95,2,21,0.5,978,165,984,819,235.04907975460122,68.26927271401455
NRB,0.1,0.9,2,36,0.5,1000,207,379,172,289.179,48.04842984542378
NRB,0.05,1.0,2,18,0.25,1000,162,352,190,273.684,38.235063280502935
NRB,0.05,0.9,2,12,0.5,1000,89,200,111,136.128,28.569386164666295
NRB,0.175,0.8,2,27,0.75,1000,126,291,165,188.918,25.022337888242845
NRB,0.2,0.9,2,36,0.25,1000,157,367,210,213.484,29.669850758708648
NRB,0.1,0.8,2,18,0.5,1000,136,323,187,195.163,36.16877951509577
