Feature Type,Alpha,Gamma,Polynomial Dimension,Protos per dimension,Epsilon,Convergent Training Sessions (from 10 training sessions)
POLYNOMIAL,0.01,0.95,8,35,0.5,2
POLYNOMIAL,0.025,0.9,7,35,0.75,1
POLYNOMIAL,0.075,0.99,6,35,0.75,1
POLYNOMIAL,0.05,1.0,6,35,0.5,1
POLYNOMIAL,0.025,0.8,6,35,0.25,1
POLYNOMIAL,0.05,1.0,10,35,0.5,1
POLYNOMIAL,0.1,0.99,6,35,0.5,1
POLYNOMIAL,0.025,0.9,10,35,0.5,3
POLYNOMIAL,0.075,1.0,4,35,0.25,1
POLYNOMIAL,0.01,1.0,10,35,0.75,1
POLYNOMIAL,0.01,0.99,6,35,0.75,4
POLYNOMIAL,0.01,1.0,4,35,0.75,2
POLYNOMIAL,0.05,1.0,6,35,0.25,1
POLYNOMIAL,0.01,0.9,4,35,0.5,2
POLYNOMIAL,0.01,1.0,5,35,0.75,2
POLYNOMIAL,0.01,0.95,4,35,0.5,2
POLYNOMIAL,0.15,0.99,3,35,0.5,1
POLYNOMIAL,0.4,0.95,2,35,0.75,1
POLYNOMIAL,0.05,0.99,7,35,0.5,2
POLYNOMIAL,0.025,0.95,6,35,0.75,2
POLYNOMIAL,0.175,0.99,3,35,0.75,1
POLYNOMIAL,0.025,0.8,5,35,0.25,1
POLYNOMIAL,0.4,0.9,6,35,0.5,1
POLYNOMIAL,0.075,0.99,4,35,0.75,2
POLYNOMIAL,0.025,0.95,8,35,0.75,1
POLYNOMIAL,0.05,0.99,5,35,0.75,2
POLYNOMIAL,0.075,0.95,4,35,0.5,1
POLYNOMIAL,0.4,0.95,3,35,0.75,1
POLYNOMIAL,0.025,0.95,7,35,0.25,1
POLYNOMIAL,0.01,1.0,7,35,0.75,1
POLYNOMIAL,0.075,0.95,5,35,0.5,1
POLYNOMIAL,0.025,0.99,9,35,0.5,1
POLYNOMIAL,0.05,0.95,10,35,0.25,1
POLYNOMIAL,0.01,0.99,9,35,0.75,1
POLYNOMIAL,0.4,0.8,8,35,0.5,1
POLYNOMIAL,0.15,0.99,5,35,0.75,1
POLYNOMIAL,0.5,0.8,5,35,0.5,2
POLYNOMIAL,0.01,0.9,7,35,0.5,1
POLYNOMIAL,0.01,1.0,6,35,0.75,3
POLYNOMIAL,0.01,0.9,5,35,0.5,1
POLYNOMIAL,0.025,1.0,9,35,0.75,1
POLYNOMIAL,0.01,0.95,9,35,0.5,2
POLYNOMIAL,0.5,0.8,2,35,0.5,1
POLYNOMIAL,0.025,0.99,9,35,0.25,2
POLYNOMIAL,0.025,0.99,10,35,0.25,1
POLYNOMIAL,0.5,0.8,3,35,0.75,2
POLYNOMIAL,0.025,1.0,10,35,0.75,1
POLYNOMIAL,0.5,0.9,4,35,0.5,1
POLYNOMIAL,0.05,0.95,10,35,0.5,1
POLYNOMIAL,0.01,1.0,9,35,0.75,1
POLYNOMIAL,0.1,1.0,4,35,0.75,1
POLYNOMIAL,0.025,0.99,9,35,0.75,1
POLYNOMIAL,0.01,0.95,9,35,0.75,1
POLYNOMIAL,0.05,1.0,8,35,0.5,1
POLYNOMIAL,0.025,0.95,9,35,0.5,1
POLYNOMIAL,0.4,0.95,6,35,0.5,1
POLYNOMIAL,0.05,0.9,7,35,0.5,1
POLYNOMIAL,0.01,0.99,4,35,0.5,1
POLYNOMIAL,0.01,0.9,8,35,0.5,2
POLYNOMIAL,0.01,0.99,8,35,0.5,1
POLYNOMIAL,0.025,0.9,5,35,0.5,1
POLYNOMIAL,0.1,1.0,3,35,0.75,1
POLYNOMIAL,0.01,0.8,5,35,0.5,1
POLYNOMIAL,0.01,0.99,5,35,0.75,2
POLYNOMIAL,0.01,0.95,8,35,0.75,1
POLYNOMIAL,0.025,1.0,8,35,0.5,3
POLYNOMIAL,0.05,1.0,10,35,0.25,1
POLYNOMIAL,0.01,0.99,7,35,0.75,1
POLYNOMIAL,0.4,0.8,7,35,0.75,1
POLYNOMIAL,0.025,0.99,5,35,0.25,1
POLYNOMIAL,0.025,1.0,7,35,0.5,1
POLYNOMIAL,0.025,0.99,8,35,0.25,1
POLYNOMIAL,0.025,0.99,5,35,0.75,1
POLYNOMIAL,0.025,0.99,5,35,0.5,1
POLYNOMIAL,0.4,0.95,7,35,0.5,1
POLYNOMIAL,0.5,0.95,2,35,0.75,1
POLYNOMIAL,0.125,1.0,4,35,0.75,1
POLYNOMIAL,0.4,0.95,8,35,0.5,1
POLYNOMIAL,0.5,0.95,9,35,0.25,1
POLYNOMIAL,0.01,1.0,7,35,0.5,1
POLYNOMIAL,0.15,0.99,3,35,0.75,1
POLYNOMIAL,0.025,0.99,4,35,0.25,1
POLYNOMIAL,0.025,0.95,8,35,0.5,1
POLYNOMIAL,0.05,0.95,5,35,0.75,1
POLYNOMIAL,0.01,0.99,10,35,0.5,1
POLYNOMIAL,0.4,0.8,5,35,0.75,2
POLYNOMIAL,0.025,1.0,5,35,0.25,1
POLYNOMIAL,0.01,0.9,4,35,0.25,1
POLYNOMIAL,0.125,0.99,4,35,0.75,1
POLYNOMIAL,0.075,1.0,3,35,0.75,1
POLYNOMIAL,0.025,0.99,7,35,0.75,1
POLYNOMIAL,0.025,0.99,10,35,0.75,1
POLYNOMIAL,0.5,0.8,6,35,0.5,1
POLYNOMIAL,0.01,0.99,4,35,0.75,1
POLYNOMIAL,0.025,0.9,7,35,0.5,1
POLYNOMIAL,0.4,0.9,4,35,0.75,1
