Feature Type,Alpha,Gamma,Polynomial Dimension,Protos per dimension,Epsilon,Simulations,MIN,MAX,Delta,Mean,STDEV
POLYNOMIAL,0.01,0.95,8,35,0.5,1000,141,155,14,146.218,4.163629643929898
POLYNOMIAL,0.025,0.9,7,35,0.75,1000,188,201,13,192.718,3.4240619445623643
POLYNOMIAL,0.075,0.99,6,35,0.75,1000,85,222,137,148.142,38.74468979082149
POLYNOMIAL,0.05,1.0,6,35,0.5,1000,134,211,77,141.779,19.179259709462276
POLYNOMIAL,0.025,0.8,6,35,0.25,1000,161,346,185,192.117,37.39646783864496
POLYNOMIAL,0.05,1.0,10,35,0.5,1000,152,277,125,164.982,15.077898362139832
POLYNOMIAL,0.1,0.99,6,35,0.5,1000,90,283,193,159.125,32.46313648171153
POLYNOMIAL,0.025,0.9,10,35,0.5,1000,140,195,55,173.441,20.762311831599884
POLYNOMIAL,0.075,1.0,4,35,0.25,1000,186,247,61,207.802,20.110127130707383
POLYNOMIAL,0.01,1.0,10,35,0.75,1000,83,238,155,147.784,41.42486407175482
POLYNOMIAL,0.01,0.99,6,35,0.75,1000,113,258,145,161.588,38.55360731029765
POLYNOMIAL,0.01,1.0,4,35,0.75,1000,84,232,148,146.681,38.150133311322406
POLYNOMIAL,0.05,1.0,6,35,0.25,1000,168,265,97,205.877,36.52215408130713
POLYNOMIAL,0.01,0.9,4,35,0.5,940,167,191,24,172.85531914893616,5.195468186255528
POLYNOMIAL,0.01,1.0,5,35,0.75,1000,83,274,191,142.181,46.080186877036674
POLYNOMIAL,0.01,0.95,4,35,0.5,1000,176,196,20,183.387,6.022582710308137
POLYNOMIAL,0.15,0.99,3,35,0.5,1000,88,230,142,169.892,31.758887936496816
POLYNOMIAL,0.4,0.95,2,35,0.75,1000,169,271,102,216.222,30.500737876500807
POLYNOMIAL,0.05,0.99,7,35,0.5,1000,143,170,27,153.393,7.039183269463944
POLYNOMIAL,0.05,0.99,7,35,0.5,976,156,164,8,158.71618852459017,2.175477364958704
POLYNOMIAL,0.025,0.95,6,35,0.75,1000,87,247,160,152.159,30.97061345691909
POLYNOMIAL,0.025,0.9,10,35,0.5,954,116,136,20,118.22851153039832,3.2393476223199595
POLYNOMIAL,0.175,0.99,3,35,0.75,1000,83,203,120,144.669,38.36442712029294
POLYNOMIAL,0.025,0.8,5,35,0.25,1000,257,445,188,276.663,18.607624100746303
POLYNOMIAL,0.4,0.9,6,35,0.5,1000,228,328,100,264.592,31.440420417609495
POLYNOMIAL,0.01,1.0,4,35,0.75,1000,94,231,137,160.294,21.524378338592335
POLYNOMIAL,0.075,0.99,4,35,0.75,1000,119,132,13,120.565,2.0282723902101734
POLYNOMIAL,0.025,0.95,8,35,0.75,1000,86,253,167,150.152,34.459750004467104
POLYNOMIAL,0.05,0.99,5,35,0.75,1000,83,265,182,144.325,46.197549595066064
POLYNOMIAL,0.075,0.95,4,35,0.5,1000,89,226,137,150.878,33.59299935411552
POLYNOMIAL,0.4,0.95,3,35,0.75,1000,202,308,106,239.157,27.905753565924037
POLYNOMIAL,0.025,0.95,7,35,0.25,1000,199,401,202,270.549,40.40933695958786
POLYNOMIAL,0.01,1.0,7,35,0.75,1000,86,342,256,156.39,54.997587534678594
POLYNOMIAL,0.075,0.95,5,35,0.5,1000,95,255,160,159.493,22.438614984941527
POLYNOMIAL,0.025,0.99,9,35,0.5,1000,107,150,43,138.051,10.907491571042922
POLYNOMIAL,0.05,0.95,10,35,0.25,1000,90,247,157,158.155,28.98221771955942
POLYNOMIAL,0.01,0.99,9,35,0.75,1000,164,331,167,192.038,48.298916564881054
POLYNOMIAL,0.4,0.8,8,35,0.5,1000,110,238,128,151.365,34.54717473661605
POLYNOMIAL,0.15,0.99,5,35,0.75,985,85,251,166,150.27106598984773,39.08468273080119
POLYNOMIAL,0.01,0.99,6,35,0.75,1000,83,219,136,131.896,37.79147231028952
POLYNOMIAL,0.5,0.8,5,35,0.5,1000,199,306,107,232.768,27.40666527144996
POLYNOMIAL,0.01,0.9,7,35,0.5,1000,134,241,107,168.328,32.69895468723179
POLYNOMIAL,0.01,1.0,6,35,0.75,1000,84,261,177,134.657,48.22072780028926
POLYNOMIAL,0.01,0.9,5,35,0.5,1000,124,223,99,146.255,19.194593181607353
POLYNOMIAL,0.025,1.0,9,35,0.75,1000,83,247,164,146.083,41.03869253869189
POLYNOMIAL,0.01,0.95,9,35,0.5,1000,83,259,176,139.247,39.36815772731616
POLYNOMIAL,0.01,0.99,6,35,0.75,1000,85,265,180,154.764,53.386387875659935
POLYNOMIAL,0.5,0.8,2,35,0.5,1000,180,306,126,250.034,33.49143951102312
POLYNOMIAL,0.025,0.99,9,35,0.25,1000,170,352,182,197.539,32.11454223280822
POLYNOMIAL,0.025,0.99,10,35,0.25,1000,112,220,108,144.271,27.74543869482637
POLYNOMIAL,0.5,0.8,5,35,0.5,1000,116,199,83,156.031,34.546338279020084
POLYNOMIAL,0.5,0.8,3,35,0.75,1000,145,270,125,199.215,32.970195765400135
POLYNOMIAL,0.025,1.0,10,35,0.75,1000,111,239,128,160.728,16.657595609555766
POLYNOMIAL,0.5,0.9,4,35,0.5,1000,137,241,104,167.911,31.210401602160907
POLYNOMIAL,0.05,0.95,10,35,0.5,1000,254,276,22,260.641,5.409563973406949
POLYNOMIAL,0.01,1.0,9,35,0.75,1000,83,249,166,157.134,52.59816166569522
POLYNOMIAL,0.01,1.0,6,35,0.75,1000,122,132,10,125.162,2.894154821728121
POLYNOMIAL,0.1,1.0,4,35,0.75,1000,88,194,106,158.155,26.946522782913757
POLYNOMIAL,0.01,0.95,9,35,0.5,1000,196,301,105,217.645,26.910911767760158
POLYNOMIAL,0.075,0.99,4,35,0.75,1000,190,289,99,239.232,34.383461117205734
POLYNOMIAL,0.025,0.99,9,35,0.75,1000,153,287,134,221.975,19.496114317306244
POLYNOMIAL,0.01,0.95,9,35,0.75,1000,112,132,20,115.517,3.245650203772003
POLYNOMIAL,0.05,1.0,8,35,0.5,1000,111,228,117,169.134,13.013431269015616
POLYNOMIAL,0.025,0.95,6,35,0.75,1000,86,323,237,148.142,38.91514132345178
POLYNOMIAL,0.025,0.95,9,35,0.5,1000,153,300,147,159.504,23.19236662934315
POLYNOMIAL,0.4,0.95,6,35,0.5,1000,210,356,146,258.214,43.40520955157591
